,time,region,spa01,spe01,spa03,spe03,spa06,spe06,spa12,spe12,t2m,rh,tp,index_x,t2m_L1.0,t2m_L2.0,t2m_L3.0,t2m_L4.0,t2m_L5.0,t2m_L6.0,rh_L1.0,rh_L2.0,rh_L3.0,rh_L4.0,rh_L5.0,rh_L6.0,tp_L1.0,tp_L2.0,tp_L3.0,tp_L4.0,tp_L5.0,tp_L6.0,mx2t24_L1.0,mx2t24_L2.0,mx2t24_L3.0,mx2t24_L4.0,mx2t24_L5.0,mx2t24_L6.0,mn2t24_L1.0,mn2t24_L2.0,mn2t24_L3.0,mn2t24_L4.0,mn2t24_L5.0,mn2t24_L6.0,ssta,VUL_socioeconomic_deprivation,VUL_socioeconomic_inequality,gdp_pc,pop_count,area,pop_density,index_y,Country,Region,Cases,Spatial_Resolution
0,2015-01,DOM,-0.5175339245372741,-0.6146250308364903,-0.24036170434135515,-0.30454527490553884,-0.34938202532421886,-0.37171382598316727,-1.2972194125732057,-1.1505664453983295,296.73784525161807,0.8006122570971651,0.3076934811536789,0,296.0030480135484,295.95401323552534,296.4841237257502,297.2537665356001,298.00591219541553,298.94676984165403,0.785018410849782,0.7684372554817326,0.7525661531072576,0.7610092385240953,0.787983513458506,0.7788671413757131,8.496002213833899,7.808084927428514,8.67297390076781,13.483090015059386,19.027282526257594,13.655480212587952,299.57535748180294,299.7398659695814,300.3297896383505,300.99298997172156,301.4266668085682,302.4327472383241,293.65346419898776,293.3787658234119,293.73917652750106,294.50528283377463,295.36916508201637,296.23446147956275,0.47741935,0.3280257865780452,0.3979278076269971,14794.354210289905,10244921.729848582,48092.054192982534,213.02732648387254,1,DOMINICAN REPUBLIC,DOMINICAN REPUBLIC,273,Admin0
1,2015-02,DOM,1.0822086575706202,1.1138803702430295,-0.18252913691354047,-0.2333081618117489,-0.2697101811729517,-0.30499061281282003,-1.0269038130121608,-0.9384655897754149,296.77956314842424,0.7954630888861581,0.5084370158994529,1,296.0147142451697,296.4642928294541,297.32231214082566,298.1783210851128,299.04551192866995,299.553556961847,0.7994471905472983,0.7725786906327465,0.761683841277818,0.7873160141035065,0.7800044073496915,0.7593247093495873,11.267329038895697,11.898133574633214,12.497690976710134,18.247446227690336,14.210765516143592,11.514923588355,299.53575349763895,300.13327702801513,300.98937779641216,301.6307200127029,302.4823738989972,303.2294421906777,293.5928263351061,293.8307321417982,294.57381143918604,295.5426034071361,296.38079216173,296.7352047104847,0.75,0.3280257865780452,0.3979278076269971,14794.354210289905,10244921.729848582,48092.054192982534,213.02732648387254,2,DOMINICAN REPUBLIC,DOMINICAN REPUBLIC,342,Admin0
2,2015-03,DOM,1.0297904775743931,1.073085007967449,0.7738655437603921,0.7344894047838229,-0.23083825607702438,-0.2954619989436653,-1.0169613328064777,-0.9139702151015527,297.14403241424634,0.7653262773974374,0.22833189340504823,2,296.6017004271746,297.45850458007374,298.1689172354777,299.05515986998915,299.6221402664839,299.7864496286215,0.7691819165828768,0.7585998532282082,0.7791494847560024,0.7775686694593041,0.7536676568107096,0.7549850393239872,9.097100906483137,11.15089309515266,17.718745430000464,13.409646751602505,10.270773547457068,11.991218527594027,300.2504224510883,301.1590619427912,301.63592178362387,302.5009862817783,303.34024384875056,303.61942879203326,293.96839501829226,294.67744641358547,295.48968707187163,296.3852102790775,296.78430247439434,296.9740681952386,0.43870968,0.3280257865780452,0.3979278076269971,14794.354210289905,10244921.729848582,48092.054192982534,213.02732648387254,3,DOMINICAN REPUBLIC,DOMINICAN REPUBLIC,432,Admin0
3,2015-04,DOM,-0.2472338816446663,-0.3095031752160791,0.7755459849842731,0.7605180867331036,-0.15166366301604173,-0.13072758658794292,-1.1263343046118406,-1.031560653366333,298.3171349079802,0.7523567883469271,0.17814892214118172,3,297.3231776883285,298.1215821028916,298.96276578970173,299.67402834660015,299.83693412649205,299.72073380825503,0.7673463405951364,0.7921746741402632,0.7790806803548455,0.747452702415578,0.7517836760628644,0.7796739922985702,14.251211537967633,18.122188821846354,14.000005624648471,8.930400429065289,11.033315176180631,15.341368829098911,300.9787770119528,301.51529314086173,302.39549232392505,303.4247647348737,303.73131589794235,303.5264711818441,294.56874808350227,295.49427863829993,296.28756355427635,296.7882008693548,296.94198084211996,296.98618843186557,0.83666664,0.32267702978985896,0.3979278076269971,14794.354210289905,10244921.729848582,48092.054192982534,213.02732648387254,4,DOMINICAN REPUBLIC,DOMINICAN REPUBLIC,394,Admin0
4,2015-05,DOM,-2.5202824033485953,-2.028042282274979,-1.0723173978991039,-0.9831172745618744,-1.0572380645591937,-1.101611318559786,-1.3912556011391293,-1.2392819543285012,299.04472515122114,0.7502025648445492,0.31393560945007315,4,298.67163843595574,299.4053281705753,299.9257573911632,300.03610800730297,299.81856996558975,299.2469629944025,0.743019342948455,0.756185760172358,0.7410270471215488,0.7523284812909232,0.7805683590784072,0.8064048878515322,10.752060503540916,10.916693566146225,9.225726705816639,11.155761089308802,16.520529867288154,20.329758759961393,302.4844409690086,303.07348773445074,303.76851408785643,303.9357973578014,303.61196379637437,302.80770574760845,295.73750298119546,296.54850899316733,297.0071195255163,297.17379290868735,297.10516557528246,296.7622368406177,0.84193546,0.32267702978985896,0.3979278076269971,14794.354210289905,10244921.729848582,48092.054192982534,213.02732648387254,5,DOMINICAN REPUBLIC,DOMINICAN REPUBLIC,510,Admin0
5,2015-06,DOM,-0.9366184491736418,-1.1916218678348514,-1.847466668159944,-1.7612476376608215,-1.1989532980627013,-1.2254736493548573,-1.2990477078867348,-1.1841465740379769,299.6835557717506,0.7757824051788106,0.3298602878392285,5,299.0197873696395,299.50179006007926,299.7609641083577,299.56905379576415,299.0069740215032,298.1229694750514,0.7855283278148162,0.7525763408390548,0.752984507358199,0.7767996145449073,0.8086622182343515,0.8019293407353071,12.294159303823383,10.517803228128352,10.92732050076608,15.325408000832779,20.514256481813018,13.389522853956466,302.45613838571757,303.2051136806368,303.6115360368074,303.38854028750967,302.57323553782714,301.58684372031917,296.3368026295665,296.6425510872424,296.8973882143704,296.8255298950013,296.53200041549616,295.7170243996724,1.07,0.32267702978985896,0.3979278076269971,14794.354210289905,10244921.729848582,48092.054192982534,213.02732648387254,6,DOMINICAN REPUBLIC,DOMINICAN REPUBLIC,565,Admin0
6,2015-07,DOM,-0.8768073302566205,-0.9483272228675291,-1.8167060551728889,-1.7500470118931688,-1.6024551391691573,-1.5340022653270613,-1.3815057931048982,-1.2329528389007456,300.0785359537786,0.7518635912528446,0.22339869093206796,6,299.39415377174066,299.791323427524,299.7838153302485,299.2871310286465,298.43147852277923,297.55561481375247,0.7555595186018808,0.7593526813477354,0.7759667019625934,0.8038479376808051,0.8000400493145816,0.7870719651653756,8.918493130641696,11.634377044402852,13.893644435547985,18.782173845417077,12.76951789955261,10.644638388210272,303.09567274939366,303.6227541751578,303.6272857621265,302.89000631098736,301.9379266754939,301.2114139016597,296.5588593186502,296.9426193632293,296.99564592920046,296.7610987731688,295.9833647951816,295.1040038902862,1.2774193,0.3176031491585008,0.3979278076269971,14794.354210289905,10244921.729848582,48092.054192982534,213.02732648387254,7,DOMINICAN REPUBLIC,DOMINICAN REPUBLIC,970,Admin0
7,2015-08,DOM,-1.7628711691769707,-1.762846592419808,-1.4372810327332588,-1.6172432588127652,-1.9011222908369552,-1.7113003519828232,-1.691379392426304,-1.4618694578153468,300.41574253347994,0.7551405450424442,0.5785739626725399,7,299.60356148823337,299.75760026442674,299.2452069975943,298.2750660170243,297.3504342312767,296.65728552221555,0.7684965546463906,0.7826967565735703,0.8102244652227286,0.8159048891880339,0.8023470863012274,0.7840611256540233,11.956383554490815,14.646524220778069,20.808963978646453,19.443526284673677,11.849777309489426,9.98853884488186,303.3698791226038,303.5223992596681,302.8265865576411,301.64043452125134,300.78160514268535,300.25763819397434,296.800838456175,297.02029672654743,296.7413944064125,295.96482910160904,295.0721691930618,294.3017105320824,1.6645161,0.3176031491585008,0.3979278076269971,14794.354210289905,10244921.729848582,48092.054192982534,213.02732648387254,8,DOMINICAN REPUBLIC,DOMINICAN REPUBLIC,1493,Admin0
8,2015-09,DOM,-0.5337400501502028,-0.609038562598373,-1.4333612019760238,-1.4291359459440012,-2.0231493248445633,-1.804688581176016,-1.7349981619103738,-1.5999775264776388,300.0163774049564,0.7974565226084108,0.4561979088836723,8,299.62194265124424,299.2670453171899,298.23298157745523,297.3349138585117,296.74561418533995,296.6759412102472,0.7958548264680205,0.8145107572216227,0.8150892310942353,0.7951161448480819,0.7856973262145622,0.771871782936797,13.587502496808058,20.578703089934315,19.188027919915402,10.695796463772412,9.46953316061494,9.702788960092896,303.32093861546616,302.81891103162224,301.547151290981,300.833647791041,300.37020371642836,300.38450817949104,296.9207143515131,296.78963654039995,295.96062470938784,295.0018462433104,294.37284726716683,294.20693631997705,1.8566667,0.3176031491585008,0.3979278076269971,14794.354210289905,10244921.729848582,48092.054192982534,213.02732648387254,9,DOMINICAN REPUBLIC,DOMINICAN REPUBLIC,2246,Admin0
9,2015-10,DOM,-1.003939793868211,-1.0770391418680174,-1.6042768544558297,-1.5693068777065937,-1.910486283246034,-1.839382230071337,-1.668649437913407,-1.4756377987622098,299.78769493276235,0.7898489506798677,0.41794007839806413,9,299.1523655388484,298.32172250987026,297.4130245304555,296.84389270731117,296.6813640846639,297.192693466762,0.8220428764986113,0.8227913059564997,0.8050166784857196,0.788807113949947,0.7729062159208615,0.7569926330475633,20.86643551526106,18.45290043724222,13.23877325772623,9.686998438943602,10.634498263065385,9.83103895992767,302.55552060202666,301.6456036752409,300.84936139894984,300.4437597882311,300.3650474306931,300.94899190701324,296.81273966355843,296.07165077500076,295.127964801453,294.47290849763704,294.22863319683273,294.5760826965965,2.2,0.31236598693975715,0.3979278076269971,14794.354210289905,10244921.729848582,48092.054192982534,213.02732648387254,10,DOMINICAN REPUBLIC,DOMINICAN REPUBLIC,4151,Admin0
