,time,region,quantile,horizon,Cases
0,2017-03-01,BLM,0.01,1,-0.10946934416890144
1,2017-04-01,BLM,0.01,2,-0.1690187108516693
2,2017-05-01,BLM,0.01,3,-0.11373718053102494
3,2017-06-01,BLM,0.01,4,-0.14231581196188928
4,2017-07-01,BLM,0.01,5,-0.1684473344683647
5,2017-08-01,BLM,0.01,6,-0.14144723668694495
6,2017-03-01,BLM,0.05,1,-0.06259851045906543
7,2017-04-01,BLM,0.05,2,-0.04575755968689918
8,2017-05-01,BLM,0.05,3,-0.046084970608353606
9,2017-06-01,BLM,0.05,4,-0.040752312354743477
10,2017-07-01,BLM,0.05,5,-0.05268113873898983
11,2017-08-01,BLM,0.05,6,-0.04485254120081662
12,2017-03-01,BLM,0.1,1,-0.05066256783902645
13,2017-04-01,BLM,0.1,2,-0.021267434582114216
14,2017-05-01,BLM,0.1,3,-0.026360587403178214
15,2017-06-01,BLM,0.1,4,-0.023302131332457066
16,2017-07-01,BLM,0.1,5,-0.02912099920213222
17,2017-08-01,BLM,0.1,6,-0.026251742243766786
18,2017-03-01,BLM,0.15,1,-0.03498511854559183
19,2017-04-01,BLM,0.15,2,-0.016312655992805958
20,2017-05-01,BLM,0.15,3,-0.021046051289886236
21,2017-06-01,BLM,0.15,4,-0.013884387072175743
22,2017-07-01,BLM,0.15,5,-0.01919073462486267
23,2017-08-01,BLM,0.15,6,-0.01902670431882143
24,2017-03-01,BLM,0.2,1,-0.016239928081631657
25,2017-04-01,BLM,0.2,2,-0.013447039946913718
26,2017-05-01,BLM,0.2,3,-0.015799969062209127
27,2017-06-01,BLM,0.2,4,-0.0102127056568861
28,2017-07-01,BLM,0.2,5,-0.012435244396328923
29,2017-08-01,BLM,0.2,6,-0.013306246697902679
30,2017-03-01,BLM,0.25,1,0.014098216313868761
31,2017-04-01,BLM,0.25,2,-0.009361509000882506
32,2017-05-01,BLM,0.25,3,-0.010802099481225014
33,2017-06-01,BLM,0.25,4,-0.006018855492584407
34,2017-07-01,BLM,0.25,5,-0.006245213910005987
35,2017-08-01,BLM,0.25,6,-0.007973182015120983
36,2017-03-01,BLM,0.3,1,0.04306321591138838
37,2017-04-01,BLM,0.3,2,-0.005744619015604258
38,2017-05-01,BLM,0.3,3,-0.008051316533237696
39,2017-06-01,BLM,0.3,4,-0.0022478062659502035
40,2017-07-01,BLM,0.3,5,-0.002485455246642233
41,2017-08-01,BLM,0.3,6,-0.0038914417615160345
42,2017-03-01,BLM,0.35,1,0.08710817098617553
43,2017-04-01,BLM,0.35,2,-0.003433743224013598
44,2017-05-01,BLM,0.35,3,-0.005717273941263557
45,2017-06-01,BLM,0.35,4,0.0004168852057773557
46,2017-07-01,BLM,0.35,5,0.0015952649060636736
47,2017-08-01,BLM,0.35,6,-6.588487558474419e-05
48,2017-03-01,BLM,0.4,1,0.14623068273067474
49,2017-04-01,BLM,0.4,2,-2.6497861836105276e-05
50,2017-05-01,BLM,0.4,3,-0.0042052103206515305
51,2017-06-01,BLM,0.4,4,0.0038205470889806762
52,2017-07-01,BLM,0.4,5,0.004583963751792908
53,2017-08-01,BLM,0.4,6,0.002861484605818988
54,2017-03-01,BLM,0.45,1,0.21451465487480165
55,2017-04-01,BLM,0.45,2,0.006382986833341424
56,2017-05-01,BLM,0.45,3,-0.002586407517082989
57,2017-06-01,BLM,0.45,4,0.00630072879139334
58,2017-07-01,BLM,0.45,5,0.007737006992101669
59,2017-08-01,BLM,0.45,6,0.006987306405790151
60,2017-03-01,BLM,0.5,1,0.30883198976516724
61,2017-04-01,BLM,0.5,2,0.028824005275964737
62,2017-05-01,BLM,0.5,3,0.001861231168732047
63,2017-06-01,BLM,0.5,4,0.010882590897381306
64,2017-07-01,BLM,0.5,5,0.01203505089506507
65,2017-08-01,BLM,0.5,6,0.01145437452942133
66,2017-03-01,BLM,0.55,1,0.4950131624937058
67,2017-04-01,BLM,0.55,2,0.11087989695370198
68,2017-05-01,BLM,0.55,3,0.015128150442615226
69,2017-06-01,BLM,0.55,4,0.018329808022826917
70,2017-07-01,BLM,0.55,5,0.01916366098448636
71,2017-08-01,BLM,0.55,6,0.022475948557257666
72,2017-03-01,BLM,0.6,1,0.7146189451217649
73,2017-04-01,BLM,0.6,2,0.2444157063961028
74,2017-05-01,BLM,0.6,3,0.05005156248807902
75,2017-06-01,BLM,0.6,4,0.04536014497280119
76,2017-07-01,BLM,0.6,5,0.039372748136520384
77,2017-08-01,BLM,0.6,6,0.057710646092891664
78,2017-03-01,BLM,0.65,1,1.1594298601150517
