,time,region,quantile,horizon,Cases
0,2017-08-01,BLM,0.01,1,-0.1065547177940607
1,2017-09-01,BLM,0.01,2,-0.21169448047876357
2,2017-10-01,BLM,0.01,3,-0.18225840225815773
3,2017-11-01,BLM,0.01,4,-0.14273008242249488
4,2017-12-01,BLM,0.01,5,-0.15161268293857574
5,2018-01-01,BLM,0.01,6,-0.1660597376525402
6,2017-08-01,BLM,0.05,1,0.23413127660751346
7,2017-09-01,BLM,0.05,2,-0.06720907390117645
8,2017-10-01,BLM,0.05,3,-0.060776280425488945
9,2017-11-01,BLM,0.05,4,-0.05688073858618736
10,2017-12-01,BLM,0.05,5,-0.06120900884270668
11,2018-01-01,BLM,0.05,6,-0.09229970090091229
12,2017-08-01,BLM,0.1,1,0.4216199070215225
13,2017-09-01,BLM,0.1,2,0.07418850734829904
14,2017-10-01,BLM,0.1,3,0.028148448094725626
15,2017-11-01,BLM,0.1,4,-0.03025223240256309
16,2017-12-01,BLM,0.1,5,-0.05251073576509952
17,2018-01-01,BLM,0.1,6,-0.07558067515492439
18,2017-08-01,BLM,0.15,1,0.6687459886074066
19,2017-09-01,BLM,0.15,2,0.264911986887455
20,2017-10-01,BLM,0.15,3,0.1351471923291683
21,2017-11-01,BLM,0.15,4,0.02632526960223909
22,2017-12-01,BLM,0.15,5,-0.036619859375059606
23,2018-01-01,BLM,0.15,6,-0.05853676199913026
24,2017-08-01,BLM,0.2,1,0.8457026958465577
25,2017-09-01,BLM,0.2,2,0.5156003355979919
26,2017-10-01,BLM,0.2,3,0.24496935307979587
27,2017-11-01,BLM,0.2,4,0.12116687148809437
28,2017-12-01,BLM,0.2,5,0.0024751976132392933
29,2018-01-01,BLM,0.2,6,-0.00406371820718049
30,2017-08-01,BLM,0.25,1,0.9582011848688126
31,2017-09-01,BLM,0.25,2,0.7148829698562622
32,2017-10-01,BLM,0.25,3,0.3618357852101326
33,2017-11-01,BLM,0.25,4,0.2491907849907875
34,2017-12-01,BLM,0.25,5,0.07222440466284752
35,2018-01-01,BLM,0.25,6,0.04777987115085125
36,2017-08-01,BLM,0.3,1,1.0909518718719482
37,2017-09-01,BLM,0.3,2,0.8956027209758758
38,2017-10-01,BLM,0.3,3,0.5295210659503936
39,2017-11-01,BLM,0.3,4,0.39711230993270874
40,2017-12-01,BLM,0.3,5,0.20025433897972106
41,2018-01-01,BLM,0.3,6,0.16446964442729936
42,2017-08-01,BLM,0.35,1,1.2151922702789306
43,2017-09-01,BLM,0.35,2,1.0855985820293426
44,2017-10-01,BLM,0.35,3,0.762261176109314
45,2017-11-01,BLM,0.35,4,0.6080000787973404
46,2017-12-01,BLM,0.35,5,0.36865977942943573
47,2018-01-01,BLM,0.35,6,0.302551919221878
48,2017-08-01,BLM,0.4,1,1.3162071466445924
49,2017-09-01,BLM,0.4,2,1.2251447200775147
50,2017-10-01,BLM,0.4,3,0.9629154443740845
51,2017-11-01,BLM,0.4,4,0.8075278401374817
52,2017-12-01,BLM,0.4,5,0.6003692030906678
53,2018-01-01,BLM,0.4,6,0.5085108280181886
54,2017-08-01,BLM,0.45,1,1.4345634579658508
55,2017-09-01,BLM,0.45,2,1.3680469930171968
56,2017-10-01,BLM,0.45,3,1.1350906252861024
57,2017-11-01,BLM,0.45,4,1.0282339215278626
58,2017-12-01,BLM,0.45,5,0.780908614397049
59,2018-01-01,BLM,0.45,6,0.7163053154945374
60,2017-08-01,BLM,0.5,1,1.5479843616485596
61,2017-09-01,BLM,0.5,2,1.528824508190155
62,2017-10-01,BLM,0.5,3,1.3434836864471436
63,2017-11-01,BLM,0.5,4,1.2079628109931946
64,2017-12-01,BLM,0.5,5,1.055477261543274
65,2018-01-01,BLM,0.5,6,0.995611310005188
66,2017-08-01,BLM,0.55,1,1.6902480185031892
67,2017-09-01,BLM,0.55,2,1.701187860965729
68,2017-10-01,BLM,0.55,3,1.5398284256458283
69,2017-11-01,BLM,0.55,4,1.4102034449577332
70,2017-12-01,BLM,0.55,5,1.4530858099460606
71,2018-01-01,BLM,0.55,6,1.3128065824508672
72,2017-08-01,BLM,0.6,1,1.8179471015930175
73,2017-09-01,BLM,0.6,2,1.84233615398407
74,2017-10-01,BLM,0.6,3,1.6912666797637939
75,2017-11-01,BLM,0.6,4,1.6196168422698975
76,2017-12-01,BLM,0.6,5,1.7476455211639403
77,2018-01-01,BLM,0.6,6,1.6584619760513302
78,2017-08-01,BLM,0.65,1,1.9768863022327423
79,2017-09-01,BLM,0.65,2,2.009119284152985
80,2017-10-01,BLM,0.65,3,1.8919040203094484
81,2017-11-01,BLM,0.65,4,1.8413704276084901
82,2017-12-01,BLM,0.65,5,2.0284487366676336
83,2018-01-01,BLM,0.65,6,1.9397757112979894
84,2017-08-01,BLM,0.7,1,2.148162198066711
85,2017-09-01,BLM,0.7,2,2.232857227325439
86,2017-10-01,BLM,0.7,3,2.13377673625946
87,2017-11-01,BLM,0.7,4,2.1135714530944822
88,2017-12-01,BLM,0.7,5,2.2602654457092286
89,2018-01-01,BLM,0.7,6,2.2037590742111206
