,time,region,quantile,horizon,Cases
0,2017-10-01,BLM,0.01,1,-0.38523897528648376
1,2017-11-01,BLM,0.01,2,-0.42388638854026794
2,2017-12-01,BLM,0.01,3,-0.5044217765331268
3,2018-01-01,BLM,0.01,4,-0.45439799427986144
4,2018-02-01,BLM,0.01,5,-0.4512613332271576
5,2018-03-01,BLM,0.01,6,-0.4516726076602936
6,2017-10-01,BLM,0.05,1,-0.08144871518015862
7,2017-11-01,BLM,0.05,2,-0.10077319554984569
8,2017-12-01,BLM,0.05,3,-0.12135043889284133
9,2018-01-01,BLM,0.05,4,-0.09696809202432631
10,2018-02-01,BLM,0.05,5,-0.12110980898141861
11,2018-03-01,BLM,0.05,6,-0.14801871329545974
12,2017-10-01,BLM,0.1,1,-0.04769541844725609
13,2017-11-01,BLM,0.1,2,-0.057246112450957294
14,2017-12-01,BLM,0.1,3,-0.06791929081082344
15,2018-01-01,BLM,0.1,4,-0.054993985965847966
16,2018-02-01,BLM,0.1,5,-0.08341367989778518
17,2018-03-01,BLM,0.1,6,-0.06712830886244774
18,2017-10-01,BLM,0.15,1,-0.03295280598104
19,2017-11-01,BLM,0.15,2,-0.04130543824285269
20,2017-12-01,BLM,0.15,3,-0.04953623414039612
21,2018-01-01,BLM,0.15,4,-0.0384822141379118
22,2018-02-01,BLM,0.15,5,-0.05600470434874296
23,2018-03-01,BLM,0.15,6,-0.04421167820692063
24,2017-10-01,BLM,0.2,1,-0.025352888554334638
25,2017-11-01,BLM,0.2,2,-0.027845505625009537
26,2017-12-01,BLM,0.2,3,-0.03828583136200905
27,2018-01-01,BLM,0.2,4,-0.03035189099609852
28,2018-02-01,BLM,0.2,5,-0.040896485745906826
29,2018-03-01,BLM,0.2,6,-0.032761942595243454
30,2017-10-01,BLM,0.25,1,-0.021923996042460203
31,2017-11-01,BLM,0.25,2,-0.022081980481743813
32,2017-12-01,BLM,0.25,3,-0.030725674238055944
33,2018-01-01,BLM,0.25,4,-0.027857951819896698
34,2018-02-01,BLM,0.25,5,-0.028702898416668177
35,2018-03-01,BLM,0.25,6,-0.027088222559541464
36,2017-10-01,BLM,0.3,1,-0.020193553529679775
37,2017-11-01,BLM,0.3,2,-0.01808809731155634
38,2017-12-01,BLM,0.3,3,-0.02519426252692938
39,2018-01-01,BLM,0.3,4,-0.02611713409423828
40,2018-02-01,BLM,0.3,5,-0.018184561096131802
41,2018-03-01,BLM,0.3,6,-0.022391908988356593
42,2017-10-01,BLM,0.35,1,-0.013490606611594558
43,2017-11-01,BLM,0.35,2,-0.00917810751125217
