,model,time,horizon,quantile,Cases
0,N-HiTS,2017-07-01,1,Cases_q0.010,0.8861079114675522
1,N-HiTS,2017-08-01,2,Cases_q0.010,2.7825889587402344
2,N-HiTS,2017-09-01,3,Cases_q0.010,2.913275761604309
3,N-HiTS,2017-10-01,4,Cases_q0.010,2.6563522815704346
4,N-HiTS,2017-11-01,5,Cases_q0.010,2.9447896003723146
5,N-HiTS,2017-12-01,6,Cases_q0.010,1.1533960938453673
6,N-HiTS,2017-07-01,1,Cases_q0.025,1.2353464782238006
7,N-HiTS,2017-08-01,2,Cases_q0.025,3.058103013038635
8,N-HiTS,2017-09-01,3,Cases_q0.025,3.231350135803223
9,N-HiTS,2017-10-01,4,Cases_q0.025,3.2423617243766785
10,N-HiTS,2017-11-01,5,Cases_q0.025,2.980657923221588
11,N-HiTS,2017-12-01,6,Cases_q0.025,2.654104971885681
12,N-HiTS,2017-07-01,1,Cases_q0.050,1.9547879457473756
13,N-HiTS,2017-08-01,2,Cases_q0.050,3.260507369041443
14,N-HiTS,2017-09-01,3,Cases_q0.050,3.5259580254554748
15,N-HiTS,2017-10-01,4,Cases_q0.050,4.050187993049621
16,N-HiTS,2017-11-01,5,Cases_q0.050,3.1817405819892883
17,N-HiTS,2017-12-01,6,Cases_q0.050,2.723146367073059
18,N-HiTS,2017-07-01,1,Cases_q0.100,2.852116084098816
19,N-HiTS,2017-08-01,2,Cases_q0.100,3.812648797035217
20,N-HiTS,2017-09-01,3,Cases_q0.100,4.13168740272522
21,N-HiTS,2017-10-01,4,Cases_q0.100,4.286305332183838
22,N-HiTS,2017-11-01,5,Cases_q0.100,3.8785232067108155
23,N-HiTS,2017-12-01,6,Cases_q0.100,2.78766405582428
24,N-HiTS,2017-07-01,1,Cases_q0.150,3.5251909494400024
25,N-HiTS,2017-08-01,2,Cases_q0.150,3.864950704574585
26,N-HiTS,2017-09-01,3,Cases_q0.150,4.438048481941223
27,N-HiTS,2017-10-01,4,Cases_q0.150,4.3061236381530765
28,N-HiTS,2017-11-01,5,Cases_q0.150,4.035672903060913
29,N-HiTS,2017-12-01,6,Cases_q0.150,2.9290203213691712
30,N-HiTS,2017-07-01,1,Cases_q0.200,4.227734375
31,N-HiTS,2017-08-01,2,Cases_q0.200,3.993289089202881
32,N-HiTS,2017-09-01,3,Cases_q0.200,4.4766593933105465
33,N-HiTS,2017-10-01,4,Cases_q0.200,4.390821743011474
34,N-HiTS,2017-11-01,5,Cases_q0.200,4.056958961486816
35,N-HiTS,2017-12-01,6,Cases_q0.200,3.041290760040283
36,N-HiTS,2017-07-01,1,Cases_q0.250,4.772400617599487
37,N-HiTS,2017-08-01,2,Cases_q0.250,4.072503685951233
38,N-HiTS,2017-09-01,3,Cases_q0.250,4.490214467048645
39,N-HiTS,2017-10-01,4,Cases_q0.250,4.4431374073028564
40,N-HiTS,2017-11-01,5,Cases_q0.250,4.133548140525818
41,N-HiTS,2017-12-01,6,Cases_q0.250,3.201003611087799
42,N-HiTS,2017-07-01,1,Cases_q0.300,4.809652709960938
43,N-HiTS,2017-08-01,2,Cases_q0.300,4.322359561920166
44,N-HiTS,2017-09-01,3,Cases_q0.300,4.566496706008911
45,N-HiTS,2017-10-01,4,Cases_q0.300,4.465516376495361
46,N-HiTS,2017-11-01,5,Cases_q0.300,4.453924655914307
47,N-HiTS,2017-12-01,6,Cases_q0.300,3.395093250274658
48,N-HiTS,2017-07-01,1,Cases_q0.350,4.865740489959717
49,N-HiTS,2017-08-01,2,Cases_q0.350,4.374454379081726
50,N-HiTS,2017-09-01,3,Cases_q0.350,4.672504258155823
51,N-HiTS,2017-10-01,4,Cases_q0.350,4.618841767311096
52,N-HiTS,2017-11-01,5,Cases_q0.350,4.4813508033752445
53,N-HiTS,2017-12-01,6,Cases_q0.350,3.4802427530288695
54,N-HiTS,2017-07-01,1,Cases_q0.400,4.927979469299316
55,N-HiTS,2017-08-01,2,Cases_q0.400,4.431059455871582
56,N-HiTS,2017-09-01,3,Cases_q0.400,4.722272109985352
57,N-HiTS,2017-10-01,4,Cases_q0.400,5.023652458190918
58,N-HiTS,2017-11-01,5,Cases_q0.400,4.503892612457276
59,N-HiTS,2017-12-01,6,Cases_q0.400,3.577224683761597
60,N-HiTS,2017-07-01,1,Cases_q0.450,4.95992500782013
61,N-HiTS,2017-08-01,2,Cases_q0.450,4.490213108062744
62,N-HiTS,2017-09-01,3,Cases_q0.450,4.777576351165772
63,N-HiTS,2017-10-01,4,Cases_q0.450,5.075422024726867
64,N-HiTS,2017-11-01,5,Cases_q0.450,4.518714880943298
65,N-HiTS,2017-12-01,6,Cases_q0.450,4.039339518547058
66,N-HiTS,2017-07-01,1,Cases_q0.500,5.023789644241333
67,N-HiTS,2017-08-01,2,Cases_q0.500,4.592681884765625
68,N-HiTS,2017-09-01,3,Cases_q0.500,4.848772764205933
69,N-HiTS,2017-10-01,4,Cases_q0.500,5.189172029495239
70,N-HiTS,2017-11-01,5,Cases_q0.500,4.535871744155884
71,N-HiTS,2017-12-01,6,Cases_q0.500,4.152405738830566
72,N-HiTS,2017-07-01,1,Cases_q0.550,5.0632387638092045
73,N-HiTS,2017-08-01,2,Cases_q0.550,4.6833991527557375
74,N-HiTS,2017-09-01,3,Cases_q0.550,4.906019020080566
75,N-HiTS,2017-10-01,4,Cases_q0.550,5.421289610862732
76,N-HiTS,2017-11-01,5,Cases_q0.550,4.551980471611023
77,N-HiTS,2017-12-01,6,Cases_q0.550,4.203681755065918
78,N-HiTS,2017-07-01,1,Cases_q0.600,5.089629077911377
79,N-HiTS,2017-08-01,2,Cases_q0.600,4.780920886993409
80,N-HiTS,2017-09-01,3,Cases_q0.600,4.9689289093017575
81,N-HiTS,2017-10-01,4,Cases_q0.600,5.477092266082764
82,N-HiTS,2017-11-01,5,Cases_q0.600,4.609282398223877
83,N-HiTS,2017-12-01,6,Cases_q0.600,4.246543025970459
84,N-HiTS,2017-07-01,1,Cases_q0.650,5.308772301673889
85,N-HiTS,2017-08-01,2,Cases_q0.650,4.8382988452911375
86,N-HiTS,2017-09-01,3,Cases_q0.650,5.012465095520019
87,N-HiTS,2017-10-01,4,Cases_q0.650,5.511455059051514
88,N-HiTS,2017-11-01,5,Cases_q0.650,4.675505948066712
89,N-HiTS,2017-12-01,6,Cases_q0.650,4.292072510719299
90,N-HiTS,2017-07-01,1,Cases_q0.700,5.327985858917236
91,N-HiTS,2017-08-01,2,Cases_q0.700,4.901038980484008
92,N-HiTS,2017-09-01,3,Cases_q0.700,5.062836074829102
93,N-HiTS,2017-10-01,4,Cases_q0.700,5.598177671432495
94,N-HiTS,2017-11-01,5,Cases_q0.700,4.727025079727173
95,N-HiTS,2017-12-01,6,Cases_q0.700,4.305488967895508
96,N-HiTS,2017-07-01,1,Cases_q0.750,5.360436677932739
97,N-HiTS,2017-08-01,2,Cases_q0.750,5.03315281867981
98,N-HiTS,2017-09-01,3,Cases_q0.750,5.120859742164612
99,N-HiTS,2017-10-01,4,Cases_q0.750,5.657539010047913
100,N-HiTS,2017-11-01,5,Cases_q0.750,4.76913857460022
101,N-HiTS,2017-12-01,6,Cases_q0.750,4.405590176582336
102,N-HiTS,2017-07-01,1,Cases_q0.800,5.3967548370361325
103,N-HiTS,2017-08-01,2,Cases_q0.800,5.338210105895996
104,N-HiTS,2017-09-01,3,Cases_q0.800,5.178959941864013
105,N-HiTS,2017-10-01,4,Cases_q0.800,5.67387170791626
106,N-HiTS,2017-11-01,5,Cases_q0.800,4.8619708061218265
107,N-HiTS,2017-12-01,6,Cases_q0.800,4.523152637481689
108,N-HiTS,2017-07-01,1,Cases_q0.850,5.440176177024841
109,N-HiTS,2017-08-01,2,Cases_q0.850,5.546605134010315
110,N-HiTS,2017-09-01,3,Cases_q0.850,5.315644311904907
111,N-HiTS,2017-10-01,4,Cases_q0.850,5.690129137039184
112,N-HiTS,2017-11-01,5,Cases_q0.850,5.1098222732543945
113,N-HiTS,2017-12-01,6,Cases_q0.850,4.646911907196045
114,N-HiTS,2017-07-01,1,Cases_q0.900,5.569864416122437
115,N-HiTS,2017-08-01,2,Cases_q0.900,5.668399143218994
116,N-HiTS,2017-09-01,3,Cases_q0.900,5.480287790298462
117,N-HiTS,2017-10-01,4,Cases_q0.900,5.7631433486938475
